time_mandante,time_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,gols_mandante,gols_visitante
Levski Sofia,Chelsea FC,1.29,1.68,1,3
FC Internazionale,FC Bayern Munique,1.92,1.93,0,2
FC Internazionale,Spartak Moskovo,1.92,1.48,2,1
FC Internazionale,Sporting CP,1.92,2.24,1,0
FC Internazionale,Valência CF,1.92,1.41,2,2
Celtic FC,Sport Lisboa e Benfica,1.77,1.92,3,0
Celtic FC,AC Milan,1.77,1.54,0,0
Celtic FC,FC Copenhagen,1.77,1.92,1,0
Celtic FC,Manchester United FC,1.77,2.09,1,0
Real Madrid CF,Steaua Bukarest,2.01,1.55,1,0
Real Madrid CF,FC Bayern Munique,2.01,1.93,3,2
Real Madrid CF,Dínamo Kiev,2.01,1.93,5,1
Real Madrid CF,Olympique Lyon,2.01,1.71,2,2
Olympiacos Pireu,Valência CF,1.53,1.41,2,4
Olympiacos Pireu,Shakhtar Donetsk,1.53,,1,1
Olympiacos Pireu,AS Roma,1.53,2.07,0,1
AEK Atenas,LOSC Lille,1.58,1.93,1,0
AEK Atenas,RSC Anderlecht,1.58,1.74,1,1
AEK Atenas,AC Milan,1.58,1.54,1,0
CSKA Moscovo,Futebol Clube do Porto,1.7,2.02,0,2
CSKA Moscovo,Hamburger SV,1.7,1.88,1,0
CSKA Moscovo,FC Arsenal,1.7,1.94,1,0
Spartak Moskovo,FC Internazionale,1.48,1.92,0,1
Spartak Moskovo,Sporting CP,1.48,2.24,1,1
Spartak Moskovo,FC Bayern Munique,1.48,1.93,2,2
Steaua Bukarest,Dínamo Kiev,1.55,1.93,1,1
Steaua Bukarest,Real Madrid CF,1.55,2.01,1,4
Steaua Bukarest,Olympique Lyon,1.55,1.71,0,3
Chelsea FC,FC Liverpool,1.68,1.87,1,0
Chelsea FC,Levski Sofia,1.68,1.29,2,0
Chelsea FC,FC Barcelona,1.68,2.14,1,0
Chelsea FC,Futebol Clube do Porto,1.68,2.02,2,1
Chelsea FC,Werder Bremen,1.68,1.72,2,0
Chelsea FC,Valência CF,1.68,1.41,1,1
Futebol Clube do Porto,Chelsea FC,2.02,1.68,1,1
Futebol Clube do Porto,FC Arsenal,2.02,1.94,0,0
Futebol Clube do Porto,Hamburger SV,2.02,1.88,4,1
Futebol Clube do Porto,CSKA Moscovo,2.02,1.7,0,0
FC Barcelona,VfB Stuttgart,2.14,1.72,3,1
FC Barcelona,Rangers FC,2.14,1.85,2,0
FC Barcelona,Manchester United FC,2.14,2.09,0,0
FC Barcelona,Olympique Lyon,2.14,1.71,3,0
FC Barcelona,Schalke 04,2.14,2.04,1,0
FC Barcelona,Celtic FC,2.14,1.77,1,0
Werder Bremen,Olympiacos Pireu,1.72,1.53,1,3
Werder Bremen,SS Lazio,1.72,1.73,2,1
Werder Bremen,Real Madrid CF,1.72,2.01,3,2
PSV Eindhoven,Fenerbahce,1.6,1.69,0,0
PSV Eindhoven,CSKA Moscovo,1.6,1.7,2,1
PSV Eindhoven,FC Internazionale,1.6,1.92,0,1
Shakhtar Donetsk,Sport Lisboa e Benfica,,1.92,1,2
Shakhtar Donetsk,Celtic FC,,1.77,2,0
Shakhtar Donetsk,AC Milan,,1.54,0,3
Besiktas JK,FC Liverpool,3,1.87,2,1
Besiktas JK,Olympique Marselha,3,1.59,2,1
Besiktas JK,Futebol Clube do Porto,3,2.02,0,1
Sevilla FC,SK Slavia Praga,1.53,2.01,4,2
Sevilla FC,Steaua Bukarest,1.53,1.55,2,1
Sevilla FC,FC Arsenal,1.53,1.94,3,1
Sevilla FC,Fenerbahce,1.53,1.69,5,5
Manchester United FC,Chelsea FC,2.09,1.68,6,5
Manchester United FC,FC Barcelona,2.09,2.14,1,0
Manchester United FC,Dínamo Kiev,2.09,1.93,4,0
Manchester United FC,AS Roma,2.09,2.07,1,0
Manchester United FC,Sporting CP,2.09,2.24,2,1
Manchester United FC,AS Roma,2.09,2.07,1,0
Manchester United FC,Olympique Lyon,2.09,1.71,1,0
Olympique Lyon,Rangers FC,1.71,1.85,0,3
Olympique Lyon,FC Barcelona,1.71,2.14,2,2
Olympique Lyon,VfB Stuttgart,1.71,1.72,4,2
Olympique Lyon,Manchester United FC,1.71,2.09,1,1
FC Arsenal,FC Liverpool,1.94,1.87,1,1
FC Arsenal,Sevilla FC,1.94,1.53,3,0
FC Arsenal,SK Slavia Praga,1.94,2.01,7,0
FC Arsenal,Steaua Bukarest,1.94,1.55,2,1
FC Arsenal,AC Milan,1.94,1.54,0,0
Rosenborg BK,Valência CF,1.45,1.41,2,0
Rosenborg BK,Chelsea FC,1.45,1.68,0,4
Rosenborg BK,Schalke 04,1.45,2.04,0,2
Fenerbahce,CSKA Moscovo,1.69,1.7,3,1
Fenerbahce,Chelsea FC,1.69,1.68,2,1
Fenerbahce,Sevilla FC,1.69,1.53,3,2
Fenerbahce,FC Internazionale,1.69,1.92,1,0
Fenerbahce,PSV Eindhoven,1.69,1.6,2,0
FC Liverpool,Futebol Clube do Porto,1.87,2.02,4,1
FC Liverpool,FC Arsenal,1.87,1.94,4,2
FC Liverpool,FC Internazionale,1.87,1.92,2,0
FC Liverpool,Besiktas JK,1.87,3,8,0
FC Liverpool,Chelsea FC,1.87,1.68,1,1
FC Liverpool,Olympique Marselha,1.87,1.59,0,1
Sport Lisboa e Benfica,Shakhtar Donetsk,1.92,,0,1
Sport Lisboa e Benfica,AC Milan,1.92,1.54,1,1
Sport Lisboa e Benfica,Celtic FC,1.92,1.77,1,0
Valência CF,Rosenborg BK,1.41,1.45,0,2
Valência CF,Chelsea FC,1.41,1.68,1,2
Valência CF,Schalke 04,1.41,2.04,0,0
Sporting CP,Manchester United FC,2.24,2.09,0,1
Sporting CP,AS Roma,2.24,2.07,2,2
Sporting CP,Dínamo Kiev,2.24,1.93,3,0
AC Milan,FC Arsenal,1.54,1.94,0,2
AC Milan,Celtic FC,1.54,1.77,1,0
AC Milan,Sport Lisboa e Benfica,1.54,1.92,2,1
AC Milan,Shakhtar Donetsk,1.54,,4,1
AS Roma,Dínamo Kiev,2.07,1.93,2,0
AS Roma,Real Madrid CF,2.07,2.01,2,1
AS Roma,Manchester United FC,2.07,2.09,0,2
AS Roma,Manchester United FC,2.07,2.09,1,1
AS Roma,Sporting CP,2.07,2.24,2,1
Schalke 04,Futebol Clube do Porto,2.04,2.02,1,0
Schalke 04,FC Barcelona,2.04,2.14,0,1
Schalke 04,Valência CF,2.04,1.41,0,1
Schalke 04,Rosenborg BK,2.04,1.45,3,1
Schalke 04,Chelsea FC,2.04,1.68,0,0
SS Lazio,Olympiacos Pireu,1.73,1.53,1,2
SS Lazio,Werder Bremen,1.73,1.72,2,1
SS Lazio,Real Madrid CF,1.73,2.01,2,2
Dínamo Kiev,Manchester United FC,1.93,2.09,2,4
Dínamo Kiev,AS Roma,1.93,2.07,1,4
Dínamo Kiev,Sporting CP,1.93,2.24,1,2
FC Internazionale,PSV Eindhoven,1.92,1.6,2,0
FC Internazionale,CSKA Moscovo,1.92,1.7,4,2
FC Internazionale,FC Liverpool,1.92,1.87,0,1
FC Internazionale,Fenerbahce,1.92,1.69,3,0
Celtic FC,Shakhtar Donetsk,1.77,,2,1
Celtic FC,Sport Lisboa e Benfica,1.77,1.92,1,0
Celtic FC,FC Barcelona,1.77,2.14,2,3
Celtic FC,AC Milan,1.77,1.54,2,1
Real Madrid CF,Olympiacos Pireu,2.01,1.53,4,2
Real Madrid CF,AS Roma,2.01,2.07,1,2
Real Madrid CF,Werder Bremen,2.01,1.72,2,1
Real Madrid CF,SS Lazio,2.01,1.73,3,1
Olympiacos Pireu,Werder Bremen,1.53,1.72,3,0
Olympiacos Pireu,SS Lazio,1.53,1.73,1,1
Olympiacos Pireu,Chelsea FC,1.53,1.68,0,0
Olympiacos Pireu,Real Madrid CF,1.53,2.01,0,0
Olympique Marselha,Besiktas JK,1.59,3,2,0
Olympique Marselha,FC Liverpool,1.59,1.87,0,4
Olympique Marselha,Futebol Clube do Porto,1.59,2.02,1,1
Rangers FC,VfB Stuttgart,1.85,1.72,2,1
Rangers FC,FC Barcelona,1.85,2.14,0,0
Rangers FC,Olympique Lyon,1.85,1.71,0,3
CSKA Moscovo,PSV Eindhoven,1.7,1.6,0,1
CSKA Moscovo,Fenerbahce,1.7,1.69,2,2
VfB Stuttgart,FC Barcelona,1.72,2.14,0,2
VfB Stuttgart,Rangers FC,1.72,1.85,3,2
VfB Stuttgart,Olympique Lyon,1.72,1.71,0,2
Steaua Bukarest,FC Arsenal,1.55,1.94,0,1
Steaua Bukarest,SK Slavia Praga,1.55,2.01,1,1
Steaua Bukarest,Sevilla FC,1.55,1.53,0,2
SK Slavia Praga,FC Arsenal,2.01,1.94,0,0
SK Slavia Praga,Sevilla FC,2.01,1.53,0,3
SK Slavia Praga,Steaua Bukarest,2.01,1.55,2,1
Chelsea FC,Fenerbahce,1.68,1.69,2,0
Chelsea FC,Valência CF,1.68,1.41,0,0
Chelsea FC,Schalke 04,1.68,2.04,2,0
Chelsea FC,FC Liverpool,1.68,1.87,3,2
Chelsea FC,Rosenborg BK,1.68,1.45,1,1
Chelsea FC,Olympiacos Pireu,1.68,1.53,3,0
Futebol Clube do Porto,Besiktas JK,2.02,3,2,0
Futebol Clube do Porto,Olympique Marselha,2.02,1.59,2,1
Futebol Clube do Porto,Schalke 04,2.02,2.04,2,4
Futebol Clube do Porto,FC Liverpool,2.02,1.87,1,1
FC Barcelona,Olympique Lyon,2.14,1.71,5,2
FC Barcelona,Shakhtar Donetsk,2.14,,2,3
FC Barcelona,FC Bayern Munique,2.14,1.93,4,0
FC Barcelona,Sporting CP,2.14,2.24,3,1
FC Barcelona,Chelsea FC,2.14,1.68,0,0
FC Barcelona,FC Basel,2.14,1.52,1,1
FC Barcelona,Manchester United FC,2.14,2.09,2,0
FC Villarreal,Panathinaikos Atenas,1.55,1.84,1,1
FC Villarreal,Celtic FC,1.55,1.77,1,0
FC Villarreal,Manchester United FC,1.55,2.09,0,0
FC Villarreal,FC Arsenal,1.55,1.94,1,1
FC Villarreal,Aalborg BK,1.55,1.62,6,3
Werder Bremen,Panathinaikos Atenas,1.72,1.84,0,3
Werder Bremen,Anorthosis Famagusta,1.72,1.41,0,0
Werder Bremen,FC Internazionale,1.72,1.92,2,1
PSV Eindhoven,FC Liverpool,1.6,1.87,1,3
PSV Eindhoven,Atlético de Madrid,1.6,1.91,0,3
PSV Eindhoven,Olympique Marselha,1.6,1.59,2,0
Shakhtar Donetsk,Sporting CP,,2.24,0,1
Shakhtar Donetsk,FC Basel,,1.52,5,0
Shakhtar Donetsk,FC Barcelona,,2.14,1,2
FC Basel,Sporting CP,1.52,2.24,0,1
FC Basel,FC Barcelona,1.52,2.14,0,5
FC Basel,Shakhtar Donetsk,1.52,,1,2
FCG Bordeaux,CFR Cluj,2.08,1.62,1,0
FCG Bordeaux,Chelsea FC,2.08,1.68,1,1
FCG Bordeaux,AS Roma,2.08,2.07,1,3
Manchester United FC,FC Arsenal,2.09,1.94,1,0
Manchester United FC,Aalborg BK,2.09,1.62,2,2
Manchester United FC,Celtic FC,2.09,1.77,3,0
Manchester United FC,Futebol Clube do Porto,2.09,2.02,2,2
Manchester United FC,FC Internazionale,2.09,1.92,2,0
Manchester United FC,FC Villarreal,2.09,1.55,0,0
Olympique Lyon,Steaua Bukarest,1.71,1.55,2,0
Olympique Lyon,ACF Fiorentina,1.71,1.62,2,2
Olympique Lyon,FC Barcelona,1.71,2.14,1,1
Olympique Lyon,FC Bayern Munique,1.71,1.93,2,3
FC Arsenal,Futebol Clube do Porto,1.94,2.02,4,0
FC Arsenal,FC Villarreal,1.94,1.55,3,0
FC Arsenal,Manchester United FC,1.94,2.09,1,3
FC Arsenal,Dínamo Kiev,1.94,1.93,1,0
FC Arsenal,Fenerbahce,1.94,1.69,0,0
FC Arsenal,AS Roma,1.94,2.07,1,0
Zenit São Petersburgo,Juventus FC,1.91,1.85,0,0
Zenit São Petersburgo,Real Madrid CF,1.91,2.01,1,2
Zenit São Petersburgo,FK BATE Borisov,1.91,1.83,1,1
Anorthosis Famagusta,Panathinaikos Atenas,1.41,1.84,3,1
Anorthosis Famagusta,FC Internazionale,1.41,1.92,3,3
Anorthosis Famagusta,Werder Bremen,1.41,1.72,2,2
Atlético de Madrid,FC Liverpool,1.91,1.87,1,1
Atlético de Madrid,Olympique Marselha,1.91,1.59,2,1
Atlético de Madrid,Futebol Clube do Porto,1.91,2.02,2,2
Atlético de Madrid,PSV Eindhoven,1.91,1.6,2,1
Fenerbahce,Dínamo Kiev,1.69,1.93,0,0
Fenerbahce,Futebol Clube do Porto,1.69,2.02,1,2
Fenerbahce,FC Arsenal,1.69,1.94,2,5
FC Liverpool,Real Madrid CF,1.87,2.01,4,0
FC Liverpool,PSV Eindhoven,1.87,1.6,3,1
FC Liverpool,Atlético de Madrid,1.87,1.91,1,1
FC Liverpool,Olympique Marselha,1.87,1.59,1,0
FC Liverpool,Chelsea FC,1.87,1.68,1,3
Sporting CP,FC Barcelona,2.24,2.14,2,5
Sporting CP,Shakhtar Donetsk,2.24,,1,0
Sporting CP,FC Bayern Munique,2.24,1.93,0,5
Sporting CP,FC Basel,2.24,1.52,2,0
FC Bayern Munique,Olympique Lyon,1.93,1.71,1,1
FC Bayern Munique,Steaua Bukarest,1.93,1.55,3,0
FC Bayern Munique,Sporting CP,1.93,2.24,7,1
FC Bayern Munique,FC Barcelona,1.93,2.14,1,1
FC Bayern Munique,ACF Fiorentina,1.93,1.62,3,0
Panathinaikos Atenas,Werder Bremen,1.84,1.72,2,2
Panathinaikos Atenas,FC Villarreal,1.84,1.55,1,2
Panathinaikos Atenas,FC Internazionale,1.84,1.92,0,2
Panathinaikos Atenas,Anorthosis Famagusta,1.84,1.41,1,0
AS Roma,CFR Cluj,2.07,1.62,1,2
AS Roma,FC Arsenal,2.07,1.94,7,7
AS Roma,FCG Bordeaux,2.07,2.08,2,0
AS Roma,Chelsea FC,2.07,1.68,3,1
Dínamo Kiev,FC Arsenal,1.93,1.94,1,1
Dínamo Kiev,Fenerbahce,1.93,1.69,1,0
Dínamo Kiev,Futebol Clube do Porto,1.93,2.02,1,2
FC Internazionale,Anorthosis Famagusta,1.92,1.41,1,0
FC Internazionale,Manchester United FC,1.92,2.09,0,0
FC Internazionale,Panathinaikos Atenas,1.92,1.84,0,1
FC Internazionale,Werder Bremen,1.92,1.72,1,1
Celtic FC,FC Villarreal,1.77,1.55,2,0
Celtic FC,Aalborg BK,1.77,1.62,0,0
Celtic FC,Manchester United FC,1.77,2.09,1,1
Real Madrid CF,FC Liverpool,2.01,1.87,0,1
Real Madrid CF,FK BATE Borisov,2.01,1.83,2,0
Real Madrid CF,Juventus FC,2.01,1.85,0,2
Real Madrid CF,Zenit São Petersburgo,2.01,1.91,3,0
Olympique Marselha,Atlético de Madrid,1.59,1.91,0,0
Olympique Marselha,PSV Eindhoven,1.59,1.6,3,0
Olympique Marselha,FC Liverpool,1.59,1.87,1,2
Aalborg BK,FC Villarreal,1.62,1.55,2,2
Aalborg BK,Manchester United FC,1.62,2.09,0,3
Aalborg BK,Celtic FC,1.62,1.77,2,1
CFR Cluj,Chelsea FC,1.62,1.68,0,0
CFR Cluj,FCG Bordeaux,1.62,2.08,1,2
CFR Cluj,AS Roma,1.62,2.07,1,3
FK BATE Borisov,Zenit São Petersburgo,1.83,1.91,0,2
FK BATE Borisov,Real Madrid CF,1.83,2.01,0,1
FK BATE Borisov,Juventus FC,1.83,1.85,2,2
ACF Fiorentina,Steaua Bukarest,1.62,1.55,0,0
ACF Fiorentina,Olympique Lyon,1.62,1.71,1,2
ACF Fiorentina,FC Bayern Munique,1.62,1.93,1,1
Steaua Bukarest,Olympique Lyon,1.55,1.71,3,5
Steaua Bukarest,ACF Fiorentina,1.55,1.62,0,1
Steaua Bukarest,FC Bayern Munique,1.55,1.93,0,1
Chelsea FC,FC Barcelona,1.68,2.14,1,1
Chelsea FC,CFR Cluj,1.68,1.62,2,1
Chelsea FC,AS Roma,1.68,2.07,1,0
Chelsea FC,FCG Bordeaux,1.68,2.08,4,0
Chelsea FC,FC Liverpool,1.68,1.87,4,4
Chelsea FC,Juventus FC,1.68,1.85,1,0
Futebol Clube do Porto,Dínamo Kiev,2.02,1.93,0,1
Futebol Clube do Porto,Fenerbahce,2.02,1.69,3,1
Futebol Clube do Porto,FC Arsenal,2.02,1.94,2,0
Futebol Clube do Porto,Atlético de Madrid,2.02,1.91,0,0
Futebol Clube do Porto,Manchester United FC,2.02,2.09,0,1
Juventus FC,FK BATE Borisov,1.85,1.83,0,0
Juventus FC,Real Madrid CF,1.85,2.01,2,1
Juventus FC,Zenit São Petersburgo,1.85,1.91,1,0
Juventus FC,Chelsea FC,1.85,1.68,2,2
Unirea Urziceni ( - 2011),Sevilla FC,,,1,0
Sevilla FC,Unirea Urziceni ( - 2011),,,2,0
VfB Stuttgart,Unirea Urziceni ( - 2011),,,3,1
Unirea Urziceni ( - 2011),VfB Stuttgart,,,1,1
Unirea Urziceni ( - 2011),Rangers FC,,,1,1
Rangers FC,Unirea Urziceni ( - 2011),,,1,4
FC Barcelona,VfB Stuttgart,2.14,1.72,4,0
FC Barcelona,FC Arsenal,2.14,1.94,4,1
FC Barcelona,Rubin Kazan,2.14,1.35,1,2
FC Barcelona,FC Internazionale,2.14,1.92,2,0
FC Barcelona,Dínamo Kiev,2.14,1.93,2,0
FC Barcelona,FC Internazionale,2.14,1.92,1,0
VfL Wolfsburg,Manchester United FC,1.8,2.09,1,3
VfL Wolfsburg,CSKA Moscovo,1.8,1.7,3,1
VfL Wolfsburg,Besiktas JK,1.8,3,0,0
Maccabi Haifa,FC Bayern Munique,1.31,1.93,0,3
Maccabi Haifa,Juventus FC,1.31,1.85,0,1
Maccabi Haifa,FCG Bordeaux,1.31,2.08,0,1
FCG Bordeaux,FC Bayern Munique,2.08,1.93,2,1
FCG Bordeaux,Juventus FC,2.08,1.85,2,0
FCG Bordeaux,Olympique Lyon,2.08,1.71,1,0
FCG Bordeaux,Olympiacos Pireu,2.08,1.53,2,1
FCG Bordeaux,Maccabi Haifa,2.08,1.31,1,0
FC Zürich,AC Milan,1.48,1.54,1,1
FC Zürich,Real Madrid CF,1.48,2.01,2,5
FC Zürich,Olympique Marselha,1.48,1.59,0,1
Besiktas JK,Manchester United FC,3,2.09,0,1
Besiktas JK,VfL Wolfsburg,3,1.8,0,3
Besiktas JK,CSKA Moscovo,3,1.7,1,2
Sevilla FC,VfB Stuttgart,1.53,1.72,1,1
Sevilla FC,CSKA Moscovo,1.53,1.7,1,2
Sevilla FC,Rangers FC,1.53,1.85,1,0
Manchester United FC,VfL Wolfsburg,2.09,1.8,2,1
Manchester United FC,FC Bayern Munique,2.09,1.93,3,2
Manchester United FC,Besiktas JK,2.09,3,0,1
Manchester United FC,AC Milan,2.09,1.54,4,0
Manchester United FC,CSKA Moscovo,2.09,1.7,3,3
Olympique Lyon,Real Madrid CF,1.71,2.01,1,0
Olympique Lyon,FC Bayern Munique,1.71,1.93,0,3
Olympique Lyon,FC Liverpool,1.71,1.87,1,1
Olympique Lyon,ACF Fiorentina,1.71,1.62,1,0
Olympique Lyon,FCG Bordeaux,1.71,2.08,3,1
Olympique Lyon,Debreceni VSC,1.71,1.51,4,0
FC Arsenal,Standard de Liège,1.94,1.73,2,0
FC Arsenal,Futebol Clube do Porto,1.94,2.02,5,0
FC Arsenal,FC Barcelona,1.94,2.14,2,2
FC Arsenal,AZ Alkmaar,1.94,1.86,4,1
FC Arsenal,Olympiacos Pireu,1.94,1.53,2,0
Standard de Liège,Olympiacos Pireu,1.73,1.53,2,0
Standard de Liège,FC Arsenal,1.73,1.94,2,3
Standard de Liège,AZ Alkmaar,1.73,1.86,1,1
Atlético de Madrid,Futebol Clube do Porto,1.91,2.02,0,3
Atlético de Madrid,APOEL Nicósia,1.91,1.61,0,0
Atlético de Madrid,Chelsea FC,1.91,1.68,2,2
FC Liverpool,Debreceni VSC,1.87,1.51,1,0
FC Liverpool,ACF Fiorentina,1.87,1.62,1,2
FC Liverpool,Olympique Lyon,1.87,1.71,1,2
AZ Alkmaar,FC Arsenal,1.86,1.94,1,1
AZ Alkmaar,Olympiacos Pireu,1.86,1.53,0,0
AZ Alkmaar,Standard de Liège,1.86,1.73,1,1
AC Milan,Olympique Marselha,1.54,1.59,1,1
AC Milan,Manchester United FC,1.54,2.09,2,3
AC Milan,Real Madrid CF,1.54,2.01,1,1
AC Milan,FC Zürich,1.54,1.48,0,1
FC Bayern Munique,Manchester United FC,1.93,2.09,2,1
FC Bayern Munique,Olympique Lyon,1.93,1.71,1,0
FC Bayern Munique,FCG Bordeaux,1.93,2.08,0,2
FC Bayern Munique,ACF Fiorentina,1.93,1.62,2,1
FC Bayern Munique,Juventus FC,1.93,1.85,0,0
FC Bayern Munique,Maccabi Haifa,1.93,1.31,1,0
Dínamo Kiev,Rubin Kazan,1.93,1.35,3,1
Dínamo Kiev,FC Barcelona,1.93,2.14,1,2
Dínamo Kiev,FC Internazionale,1.93,1.92,1,2
FC Internazionale,FC Barcelona,1.92,2.14,3,1
FC Internazionale,CSKA Moscovo,1.92,1.7,1,0
FC Internazionale,Dínamo Kiev,1.92,1.93,2,2
FC Internazionale,FC Bayern Munique,1.92,1.93,2,0
FC Internazionale,Chelsea FC,1.92,1.68,2,1
FC Internazionale,Rubin Kazan,1.92,1.35,2,0
FC Internazionale,FC Barcelona,1.92,2.14,0,0
Real Madrid CF,FC Zürich,2.01,1.48,1,0
Real Madrid CF,Olympique Lyon,2.01,1.71,1,1
Real Madrid CF,AC Milan,2.01,1.54,2,3
Real Madrid CF,Olympique Marselha,2.01,1.59,3,0
Olympiacos Pireu,FCG Bordeaux,1.53,2.08,0,1
Olympiacos Pireu,Standard de Liège,1.53,1.73,2,1
Olympiacos Pireu,AZ Alkmaar,1.53,1.86,1,0
Olympiacos Pireu,FC Arsenal,1.53,1.94,1,0
Olympique Marselha,Real Madrid CF,1.59,2.01,1,3
Olympique Marselha,AC Milan,1.59,1.54,1,2
Olympique Marselha,FC Zürich,1.59,1.48,6,1
Rubin Kazan,Dínamo Kiev,1.35,1.93,0,0
Rubin Kazan,FC Internazionale,1.35,1.92,1,1
Rubin Kazan,FC Barcelona,1.35,2.14,0,0
Rangers FC,Sevilla FC,1.85,1.53,1,4
Rangers FC,VfB Stuttgart,1.85,1.72,0,2
CSKA Moscovo,Manchester United FC,1.7,2.09,0,1
CSKA Moscovo,VfL Wolfsburg,1.7,1.8,2,1
CSKA Moscovo,FC Internazionale,1.7,1.92,0,1
CSKA Moscovo,Besiktas JK,1.7,3,2,1
CSKA Moscovo,Sevilla FC,1.7,1.53,1,1
APOEL Nicósia,Chelsea FC,1.61,1.68,0,1
APOEL Nicósia,Atlético de Madrid,1.61,1.91,1,1
APOEL Nicósia,Futebol Clube do Porto,1.61,2.02,0,1
VfB Stuttgart,Sevilla FC,1.72,1.53,1,3
VfB Stuttgart,Rangers FC,1.72,1.85,1,1
VfB Stuttgart,FC Barcelona,1.72,2.14,1,1
Debreceni VSC,FC Liverpool,1.51,1.87,0,1
Debreceni VSC,ACF Fiorentina,1.51,1.62,3,4
Debreceni VSC,Olympique Lyon,1.51,1.71,0,4
ACF Fiorentina,Debreceni VSC,1.62,1.51,5,2
ACF Fiorentina,FC Liverpool,1.62,1.87,2,0
ACF Fiorentina,FC Bayern Munique,1.62,1.93,3,2
ACF Fiorentina,Olympique Lyon,1.62,1.71,1,0
Chelsea FC,Atlético de Madrid,1.68,1.91,4,0
Chelsea FC,APOEL Nicósia,1.68,1.61,2,2
Chelsea FC,Futebol Clube do Porto,1.68,2.02,1,0
Chelsea FC,FC Internazionale,1.68,1.92,0,1
Futebol Clube do Porto,Atlético de Madrid,2.02,1.91,2,0
Futebol Clube do Porto,FC Arsenal,2.02,1.94,2,1
Futebol Clube do Porto,Chelsea FC,2.02,1.68,0,1
Futebol Clube do Porto,APOEL Nicósia,2.02,1.61,2,1
Juventus FC,FC Bayern Munique,1.85,1.93,1,4
Juventus FC,Maccabi Haifa,1.85,1.31,1,0
Juventus FC,FCG Bordeaux,1.85,2.08,1,1
Manchester United FC,Bursaspor,,,1,0
FK Partizan Belgrado,Shakhtar Donetsk,,,0,3
Shakhtar Donetsk,AS Roma,,,3,0
Bursaspor,Manchester United FC,,,0,3
Rangers FC,Bursaspor,,,1,0
Sporting Clube de Braga,Shakhtar Donetsk,,,0,3
Bursaspor,Rangers FC,,,1,1
Shakhtar Donetsk,FC Arsenal,,,2,1
AS Roma,Shakhtar Donetsk,,,2,3
FC Arsenal,Shakhtar Donetsk,,,5,1
Shakhtar Donetsk,Sporting Clube de Braga,,,2,0
Bursaspor,Valência CF,,,0,4
Shakhtar Donetsk,FK Partizan Belgrado,,,1,0
FC Barcelona,Shakhtar Donetsk,,,5,1
Valência CF,Bursaspor,,,6,1
Shakhtar Donetsk,FC Barcelona,,,0,1
FC Barcelona,FC Arsenal,2.14,1.94,3,1
FC Barcelona,Rubin Kazan,2.14,1.35,2,0
FC Barcelona,Real Madrid CF,2.14,2.01,1,1
FC Barcelona,FC Copenhagen,2.14,1.92,2,0
FC Barcelona,Panathinaikos Atenas,2.14,1.84,5,1
FC Barcelona,Manchester United FC,2.14,2.09,3,1
Werder Bremen,FC Twente,1.72,1.53,0,2
Werder Bremen,FC Internazionale,1.72,1.92,3,0
Werder Bremen,"Tottenham Hotspur ",1.72,1.81,2,2
Sporting Clube de Braga,FC Arsenal,1.94,1.94,2,0
Sporting Clube de Braga,FK Partizan Belgrado,1.94,1.81,2,0
FC Basel,AS Roma,1.52,2.07,2,3
FC Basel,CFR Cluj,1.52,1.62,1,0
FC Basel,FC Bayern Munique,1.52,1.93,1,2
FK Partizan Belgrado,Sporting Clube de Braga,1.81,1.94,0,1
FK Partizan Belgrado,FC Arsenal,1.81,1.94,1,3
Manchester United FC,Olympique Marselha,2.09,1.59,2,1
Manchester United FC,Chelsea FC,2.09,1.68,2,1
Manchester United FC,Valência CF,2.09,1.41,1,1
Manchester United FC,Schalke 04,2.09,2.04,4,1
Manchester United FC,Rangers FC,2.09,1.85,0,0
Olympique Lyon,Sport Lisboa e Benfica,1.71,1.92,2,0
Olympique Lyon,Schalke 04,1.71,2.04,1,0
Olympique Lyon,Real Madrid CF,1.71,2.01,1,1
Olympique Lyon,Hapoel Tel Aviv,1.71,1.05,2,2
FC Arsenal,FK Partizan Belgrado,1.94,1.81,3,1
FC Arsenal,FC Barcelona,1.94,2.14,2,1
FC Arsenal,Sporting Clube de Braga,1.94,1.94,6,0
Sport Lisboa e Benfica,Schalke 04,1.92,2.04,1,2
Sport Lisboa e Benfica,Hapoel Tel Aviv,1.92,1.05,2,0
Sport Lisboa e Benfica,Olympique Lyon,1.92,1.71,4,3
Valência CF,Manchester United FC,1.41,2.09,0,1
Valência CF,Schalke 04,1.41,2.04,1,1
Valência CF,Rangers FC,1.41,1.85,3,0
AC Milan,AJ Auxerre,1.54,1.34,2,0
AC Milan,Real Madrid CF,1.54,2.01,2,2
AC Milan,"Tottenham Hotspur ",1.54,1.81,0,1
AC Milan,AFC Ajax,1.54,1.48,0,2
FC Bayern Munique,AS Roma,1.93,2.07,2,0
FC Bayern Munique,FC Internazionale,1.93,1.92,2,3
FC Bayern Munique,FC Basel,1.93,1.52,3,0
FC Bayern Munique,CFR Cluj,1.93,1.62,3,2
Panathinaikos Atenas,FC Barcelona,1.84,2.14,0,3
Panathinaikos Atenas,Rubin Kazan,1.84,1.35,0,0
Panathinaikos Atenas,FC Copenhagen,1.84,1.92,0,2
FC Copenhagen,FC Barcelona,1.92,2.14,1,1
FC Copenhagen,Chelsea FC,1.92,1.68,0,2
