temporada,data,horario,fase,tipo_fase,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,idade_tecnico_mandante,idade_tecnico_visitante,data_inicio_tecnico_mandante,data_inicio_tecnico_visitante,data_final_tecnico_mandante,data_final_tecnico_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,valor_medio_equipe_titular_mandante,valor_medio_equipe_titular_visitante,convocacao_selecao_principal_mandante,convocacao_selecao_principal_visitante,selecao_juniores_mandante,selecao_juniores_visitante,estrangeiros_mandante,estrangeiros_visitante,socios_mandante,socios_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,prorrogacao,penalti,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
"2016,2017",2017-05-10,15:45:00,Semi-Finais,Semi-Finais,Vicente Calderón,Cüneyt Cakir,53422,,Atlético de Madrid,Real Madrid CF,Diego Simeone,Carlo Ancelotti,47,57,2011-12-23,2021-07-01,2024-06-30,2024-06-30,1.91,2.01,472000000,1030000000,19670000,44610000,14,19,2,0,14,15,128249,93176,29.1,27.6,2,1,0,0,2,1,7,8,23,6,8,23,5,5,0,2,7,6,7,6
"2016,2017",2017-05-02,15:45:00,Semi-Finais,Semi-Finais,Santiago Bernabéu,Martin Atkinson,77609,85454,Real Madrid CF,Atlético de Madrid,Carlo Ancelotti,Diego Simeone,57,47,2021-07-01,2011-12-23,2024-06-30,2024-06-30,2.01,1.91,1030000000,472000000,44610000,19670000,19,14,0,2,15,14,93176,128249,27.6,29.1,3,0,0,0,1,0,9,3,10,16,16,10,1,4,0,0,7,1,6,3
"2016,2017",2017-05-09,15:45:00,Semi-Finais,Semi-Finais,Allianz Stadium,Björn Kuipers,40244,41475,Juventus FC,AS Mônaco,Massimiliano Allegri,Adi Hütter,49,47,2021-05-28,2023-07-04,2025-06-30,2025-06-30,1.85,1.79,420200000,344500000,17510000,12760000,16,15,5,10,12,27,111000,,27.2,24.2,2,1,0,0,2,0,6,8,11,21,23,14,1,4,3,2,6,2,4,6
"2017,2018",2018-05-02,15:45:00,Semi-Finais,Semi-Finais,Olimpico di Roma,Damir Skomina,61889,73261,AS Roma,FC Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,0,1,2,7,3,10,13,18,13,3,4,3,5,8,5,12,1
"2017,2018",2018-04-24,15:45:00,Semi-Finais,Semi-Finais,Anfield,Dr. Felix Brych,51236,54074,FC Liverpool,AS Roma,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,0,2,0,7,4,12,7,10,17,5,6,5,3,11,7,5,4
"2017,2018",2018-04-25,15:45:00,Semi-Finais,Semi-Finais,Allianz Arena,Björn Kuipers,70000,75000,FC Bayern Munique,Real Madrid CF,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,1,1,10,3,8,15,21,8,2,6,0,6,7,4,2,1
"2017,2018",2018-05-01,15:45:00,Semi-Finais,Semi-Finais,Santiago Bernabéu,Cüneyt Cakir,77459,81044,Real Madrid CF,FC Bayern Munique,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,1,1,6,11,10,10,10,13,8,1,3,0,3,10,5,5
"2018,2019",2019-05-01,16:00:00,Semi-Finais,Semi-Finais,Spotify Camp Nou,Björn Kuipers,98299,99354,FC Barcelona,FC Liverpool,Xavi,Jürgen Klopp,39,51,2021-11-06,2015-10-08,2025-06-30,2026-06-30,2.14,1.87,862000000,877300000,41050000,33740000,16,17,2,7,10,21,170000,,26.6,26.1,3,0,0,0,1,0,3,5,11,15,16,13,3,2,2,1,5,4,4,7
"2018,2019",2019-05-07,16:00:00,Semi-Finais,Semi-Finais,Anfield,Cüneyt Cakir,52212,53394,FC Liverpool,FC Barcelona,Jürgen Klopp,Xavi,51,39,2015-10-08,2021-11-06,2026-06-30,2025-06-30,1.87,2.14,877300000,862000000,33740000,41050000,17,16,7,2,21,10,,170000,26.1,26.6,4,0,0,0,1,0,7,6,12,9,11,13,5,3,1,2,7,5,4,2
"2018,2019",2019-05-08,16:00:00,Semi-Finais,Semi-Finais,Johan Cruijff ArenA,Dr. Felix Brych,52641,54033,AFC Ajax,"Tottenham Hotspur ",Maurice Steijn,Ange Postecoglou,45,53,2023-07-01,2023-07-01,2026-06-30,2027-06-30,1.48,1.81,181650000,747600000,6730000,25780000,12,21,14,7,15,21,,,23.4,26,2,3,0,0,2,0,6,9,13,12,13,15,4,2,2,1,4,8,5,9
